15.0,33.0
18.0,36.0
21.0,39.0
24.0,42.0
27.0,45.0
30.0,48.0
33.0,51.0
36.0,54.0
39.0,57.0
42.0,60.0
45.0,63.0
48.0,66.0
51.0,69.0
54.0,72.0
57.0,75.0
0.0,18
3.0,21.0
6.0,24.0
9.0,27.0
12.0,30.0
15.0,33.0
18.0,36.0
21.0,39.0
24.0,42.0
27.0,45.0
30.0,48.0
33.0,51.0
36.0,54.0
39.0,57.0
42.0,60.0
45.0,63.0
48.0,66.0
51.0,69.0
54.0,72.0
57.0,75.0
